network,scenario,seed,method,mean_active_vehicles,mean_stopped_vehicles,mean_speed_m_s,mean_waiting_time_s,throughput_vehicles,departed_vehicles,teleports,emergency_stops,collisions,switches_per_signal_hour,simulation_steps,signals,wall_time_s,controller_decisions,llm_call_rate,override_accept_rate,candidate_application_rate,fallback_rate,budget_block_rate,mean_calibrated_lcb_gain,mean_model_uncertainty,mean_llm_confidence
cologne8,high,1013,ergs_no_guard,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,20.97792760003358,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7369791666666666,0.0,0.0,0.9974876561962468
cologne8,high,1013,ergs_no_calibration,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,21.869924600003287,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7369791666666666,0.0,0.0,0.9974876561962468
cologne8,high,1013,ergs_no_hysteresis,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,21.408998899976723,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7109375,-0.4486098316207315,0.0,0.9974876561962468
cologne8,high,1013,ergs_v2,98.04166666666667,27.7375,6.090755081218721,3.8045135344749026,2963.0,3035.0,0.0,0.0,118.0,66.875,3600.0,8.0,23.633468799991533,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7369791666666666,-0.4486098316207315,0.0,0.9974876561962468
cologne8,high,1019,fixed,116.7875,44.46666666666667,5.380093570254143,7.030896108008266,2981.0,3078.0,0.0,0.0,110.0,144.0,3600.0,8.0,21.095901599968784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1019,max_pressure,113.225,42.15416666666667,5.449991340867958,10.058995446969428,2992.0,3078.0,0.0,0.0,122.0,50.875,3600.0,8.0,25.917361499974504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1019,ppo_ensemble,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,21.07649559993297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1019,lightgpt_direct,105.825,36.38333333333333,5.828201932181341,8.707822689729326,2996.0,3078.0,0.0,0.0,112.0,44.5,3600.0,8.0,20.847672499949113,1920.0,1.0,0.2713541666666667,0.9895833333333334,0.010416666666666666,0.0,0.0,0.0,0.5897208561041338
cologne8,high,1019,lightgpt_review,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,21.983039399958216,1920.0,1.0,0.0,0.9380208333333333,0.06197916666666667,0.0,0.0,0.0,0.8917949772396203
cologne8,high,1019,ergs_no_event,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,118.70262629992794,1920.0,1.0,0.0,0.0,1.0,0.0,-0.4234023477937818,0.0,0.8917949772396203
cologne8,high,1019,ergs_no_guard,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,19.98572029999923,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7239583333333334,0.0,0.0,0.99806875691945
cologne8,high,1019,ergs_no_calibration,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,20.455682400031947,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7239583333333334,0.0,0.0,0.99806875691945
cologne8,high,1019,ergs_no_hysteresis,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,21.31432370003313,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7,-0.45255965280038685,0.0,0.99806875691945
cologne8,high,1019,ergs_v2,98.31666666666666,26.616666666666667,6.1823324482139554,3.5538784084264354,2991.0,3078.0,0.0,0.0,80.0,67.125,3600.0,8.0,21.670721899950877,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7239583333333334,-0.45255965280038685,0.0,0.99806875691945
cologne8,high,1021,fixed,115.95833333333333,44.795833333333334,5.399958373044895,7.377561948340283,2990.0,3085.0,0.0,0.0,142.0,144.0,3600.0,8.0,19.97709999990184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1021,max_pressure,111.2625,41.05,5.513348829950065,10.292899300625237,2996.0,3085.0,0.0,0.0,164.0,50.25,3600.0,8.0,27.25783160002902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1021,ppo_ensemble,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,21.219119200017303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1021,lightgpt_direct,100.84166666666667,32.81666666666667,6.0386102637153805,7.786869658573014,2995.0,3085.0,0.0,0.0,128.0,45.0,3600.0,8.0,21.265316399978474,1920.0,1.0,0.2677083333333333,0.9890625,0.0109375,0.0,0.0,0.0,0.5897240281646478
cologne8,high,1021,lightgpt_review,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,23.406585599994287,1920.0,1.0,0.0,0.9385416666666667,0.06145833333333333,0.0,0.0,0.0,0.8910324250987204
cologne8,high,1021,ergs_no_event,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,105.05150360008702,1920.0,1.0,0.0,0.0,1.0,0.0,-0.4240301298194952,0.0,0.8910324250987204
cologne8,high,1021,ergs_no_guard,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,22.734518299927004,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7213541666666666,0.0,0.0,0.9984514368268236
cologne8,high,1021,ergs_no_calibration,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,24.056807100074366,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7213541666666666,0.0,0.0,0.9984514368268236
cologne8,high,1021,ergs_no_hysteresis,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,18.369680000003427,1920.0,0.020833333333333332,0.0,0.0,1.0,0.6875,-0.4289720445797869,0.0,0.9986431340941418
cologne8,high,1021,ergs_v2,98.03333333333333,27.3875,6.265518878852886,3.6533187672706853,3017.0,3085.0,0.0,0.0,68.0,67.125,3600.0,8.0,21.36847750004381,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7213541666666666,-0.4322450090866109,0.0,0.9984514368268236
cologne8,high,1031,fixed,115.11666666666666,43.31666666666667,5.456223311761571,6.912574884158188,2995.0,3089.0,0.0,0.0,144.0,144.0,3600.0,8.0,19.44106290000491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1031,max_pressure,124.7,52.575,4.940791000111411,12.55515952333563,2995.0,3089.0,0.0,0.0,158.0,50.125,3600.0,8.0,24.40059819992166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1031,ppo_ensemble,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,22.63638909999281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1031,lightgpt_direct,107.35,37.69583333333333,5.7905965389598535,8.708324028963112,3004.0,3089.0,0.0,0.0,106.0,44.75,3600.0,8.0,20.20821359998081,1920.0,1.0,0.26510416666666664,0.9875,0.0125,0.0,0.0,0.0,0.5892208052321853
cologne8,high,1031,lightgpt_review,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,20.425341699970886,1920.0,1.0,0.0,0.9338541666666667,0.06614583333333333,0.0,0.0,0.0,0.8914539450839046
cologne8,high,1031,ergs_no_event,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,99.60950249992311,1920.0,1.0,0.0,0.0,1.0,0.0,-0.4211075620104271,0.0,0.8914539450839046
cologne8,high,1031,ergs_no_guard,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,20.46219029999338,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7192708333333333,0.0,0.0,0.9978115828570698
cologne8,high,1031,ergs_no_calibration,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,21.286873499979265,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7192708333333333,0.0,0.0,0.9978115828570698
cologne8,high,1031,ergs_no_hysteresis,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,20.162379599991255,1920.0,0.020833333333333332,0.0,0.0,1.0,0.6911458333333333,-0.3974847939998759,0.0,0.998003280124388
cologne8,high,1031,ergs_v2,99.78333333333333,28.725,6.1644779222690635,3.816359455089447,3016.0,3089.0,0.0,0.0,108.0,66.25,3600.0,8.0,21.17448509996757,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7192708333333333,-0.4007577585067,0.0,0.9978115828570698
cologne8,high,1033,fixed,112.075,41.416666666666664,5.525511029704295,6.91274934208457,2978.0,3069.0,0.0,0.0,138.0,144.0,3600.0,8.0,19.868925599963404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1033,max_pressure,115.84166666666667,44.75416666666667,5.295681566035358,10.880885978569067,2971.0,3069.0,0.0,0.0,102.0,52.75,3600.0,8.0,24.252165500074625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1033,ppo_ensemble,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,20.242449300014414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1033,lightgpt_direct,106.05416666666666,37.18333333333333,5.753337403839548,9.142340337568516,2988.0,3069.0,0.0,0.0,106.0,45.375,3600.0,8.0,20.809912999975495,1920.0,1.0,0.271875,0.9890625,0.0109375,0.0,0.0,0.0,0.5896464339013132
cologne8,high,1033,lightgpt_review,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,20.036828099982813,1920.0,1.0,0.0,0.9322916666666666,0.06770833333333333,0.0,0.0,0.0,0.889352570910593
cologne8,high,1033,ergs_no_event,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,101.43461920006666,1920.0,1.0,0.0,0.0,1.0,0.0,-0.4210652584683752,0.0,0.889352570910593
cologne8,high,1033,ergs_no_guard,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,20.002436200040393,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7380208333333333,0.0,0.0,0.99863212050217
cologne8,high,1033,ergs_no_calibration,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,23.280510199954733,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7380208333333333,0.0,0.0,0.99863212050217
cologne8,high,1033,ergs_no_hysteresis,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,20.74778270011302,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7130208333333333,-0.44274075927991463,0.0,0.99863212050217
cologne8,high,1033,ergs_v2,98.0625,27.2125,6.198165532083566,3.5814121469462843,2985.0,3069.0,0.0,0.0,114.0,67.625,3600.0,8.0,23.64005070005078,1920.0,0.020833333333333332,0.0,0.0,1.0,0.7380208333333333,-0.44274075927991463,0.0,0.99863212050217
cologne8,high,1039,fixed,114.89166666666667,42.86666666666667,5.5008227755125265,6.88945227608923,3002.0,3088.0,0.0,0.0,128.0,144.0,3600.0,8.0,20.50136770005338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cologne8,high,1039,max_pressure,128.2375,54.458333333333336,4.9466588040312995,12.15368227502125,3002.0,3088.0,0.0,0.0,192.0,50.875,3600.0,8.0,23.962393599911593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
