scenario,method,metric,mean,std,ci95_low,ci95_high,n
medium,max_pressure,teleports,11.8,6.220932405998316,7.0,16.6,5
medium,max_pressure,throughput_vehicles,2341.2,20.26573462769115,2324.8,2356.2,5
medium,ppo,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ppo,mean_speed_m_s,8.838247641582772,0.4819599622129109,8.455879528035037,9.220615755130506,5
medium,ppo,mean_stopped_vehicles,46.69666666666667,7.662924660457774,40.73555555555555,52.65777777777778,5
medium,ppo,mean_waiting_time_s,14.656099186206575,4.067079061573046,11.49912646066271,17.813071911750438,5
medium,ppo,teleports,10.4,8.35463942968217,4.0,16.8,5
medium,ppo,throughput_vehicles,2309.8,33.41706151055176,2283.4,2336.2,5
medium,ppo_llm_ungated,emergency_stops,0.0,0.0,0.0,0.0,5
medium,ppo_llm_ungated,mean_speed_m_s,8.079048553268724,1.6006064318320177,6.905431166950254,9.368351929523893,5
medium,ppo_llm_ungated,mean_stopped_vehicles,69.435,35.82238638773729,42.58888888888889,98.61055555555556,5
medium,ppo_llm_ungated,mean_waiting_time_s,24.732154870551877,12.132641829998235,14.561525750107574,33.41882980432806,5
medium,ppo_llm_ungated,teleports,26.6,16.133815419794537,13.4,39.0,5
medium,ppo_llm_ungated,throughput_vehicles,2298.0,73.23933369440222,2236.8,2350.4,5
variable,ergs,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ergs,mean_speed_m_s,5.265046504272782,0.9567054320027255,4.556426525050289,6.032118214937664,5
variable,ergs,mean_stopped_vehicles,235.35222222222222,89.25025362207627,164.43555555555554,302.32388888888886,5
variable,ergs,mean_waiting_time_s,44.91955721990414,12.85043364467635,34.322172365883596,54.49951467084861,5
variable,ergs,teleports,82.6,44.791740310016976,48.4,118.6,5
variable,ergs,throughput_vehicles,2090.6,315.3193619174059,1843.8,2337.4,5
variable,ergs_no_guard,emergency_stops,0.0,0.0,0.0,0.0,5
variable,ergs_no_guard,mean_speed_m_s,5.265264205813732,0.9565324070196949,4.556735651796816,6.0322096401432415,5
