rung,candidate_id,encoder,paired_head,width,depth,dropout,activation,fold,status,overall_improvement,h4_improvement,overall_nrmse,h4_nrmse,worst_condition_improvement,worst_network_improvement,action_permutation_degradation,effective_rank_fraction,equal_action_max_abs,swap_antisymmetry_max_abs,peak_vram_mib,p95_batch1_ms,n_epochs,final_train_loss,corr_mcar,corr_burst,corr_spatial,corr_mnar,cond_demand_shock,cond_emergency_vehicle,cond_lane_closure,cond_normal,cond_packet_loss,cond_sensor_delay_noise,net_cologne8,net_moscow
R1,m-209166a5751a,mlp,antisymmetric,96,2,0.1,gelu,0,complete,0.16315645234896825,-0.012914773712909167,0.914791532345502,1.0064366714865418,-0.194875389795365,0.14766249901658313,0.4255149421144593,0.16543519496917725,0.0,0.0,68.0,6.477034999988972,3,0.0025213788612745702,-0.012078256676902877,-0.014707075947943515,-0.011363714777446576,-0.01532305525714106,0.19689185566966994,0.23874552170608365,0.07910310227298256,0.1765717568610009,0.23681355709945084,-0.194875389795365,0.14766249901658313,0.18265773007469865
R1,m-209166a5751a,mlp,antisymmetric,96,2,0.1,gelu,1,complete,0.13428306766470144,0.010472585374050825,0.9304391072688736,0.9947499256727538,0.08689884408081805,0.1177245375143604,0.33836043263106497,0.1444774866104126,0.0,0.0,68.0,8.659345039632171,3,0.0023490136954933405,0.008921193400737715,0.009260592269027867,0.010370221169847982,0.008767664006023357,0.17062309685332533,0.13075523084511953,0.08689884408081805,0.14306337991546914,0.16743823734156937,0.13656334145647653,0.1177245375143604,0.16945800701112457
R1,m-209166a5751a,mlp,antisymmetric,96,2,0.1,gelu,2,complete,0.10222952884867187,0.0014193714379457933,0.9475075045356254,0.9992900622752405,-0.1317856760118037,0.0733037802326113,0.3262434965601162,0.1662488877773285,0.0,0.0,68.0,12.58349997224286,3,0.002344021457247436,-0.0017494281959453684,-0.0015309597768367045,0.00018739887283691914,0.0008130859877181207,0.058403209495445085,0.23455058505134552,0.1667135095166159,0.1588339085741055,-0.008497591026407791,-0.1317856760118037,0.0733037802326113,0.14698095993847293
R1,m-209166a5751a,mlp,antisymmetric,96,2,0.1,gelu,3,complete,0.10521261155081596,-0.03374281046627048,0.9459320210507646,1.0167314347782654,-0.09497444964547208,0.05710955358465486,0.31204832139931926,0.17586229741573334,0.0,0.0,68.0,9.535959921777243,3,0.0023367918329313397,-0.030789437042010093,-0.03294431770188466,-0.030670592398768015,-0.0316637215429032,0.13911203330438948,0.16790182249374408,0.12195150711455449,0.12653729824173665,0.05963966950883126,-0.09497444964547208,0.05710955358465486,0.1867531205802614
R1,m-209166a5751a,mlp,antisymmetric,96,2,0.1,gelu,4,complete,0.09387849478172505,0.011623366957172032,0.9519041470748381,0.9941713298234002,-0.09714024147258549,0.05792702858325249,0.3187959384710686,0.17409323155879974,0.0,0.0,68.0,10.965009953361005,3,0.002378147793933749,0.011009816660799365,0.014149133212476128,0.014208976927945427,0.014304772818787281,0.1590757847986407,0.038794281963855815,0.042485014058238235,0.22095800643910035,0.064984500449904,-0.09714024147258549,0.05792702858325249,0.1542776598384792
R1,m-21d7d32c1289,tcn,shared_branch,96,1,0.1,gelu,0,complete,0.1631081548155664,-0.019235918166388366,0.9148179300737571,1.0095721460927833,-0.23261866203605663,0.14197527933380605,0.5013642788053505,0.15775342285633087,0.0,0.0,90.0,11.145154992118478,3,0.0024920038413256407,-0.014178072411766607,-0.016964221807644453,-0.010504403491564673,-0.017018012159451423,0.2213609487630016,0.24427210151747625,0.05116319940941416,0.16885244577568492,0.24729630975980244,-0.23261866203605663,0.14197527933380605,0.18970679397963874
R1,m-21d7d32c1289,tcn,shared_branch,96,1,0.1,gelu,1,complete,0.14114734824389874,0.017326694887663474,0.9267430343715032,0.9912987970901289,0.10008316474763579,0.1254371305025903,0.44565645621924044,0.11227277666330338,0.0,0.0,90.0,8.646694989874957,3,0.0023134612711146474,0.016619251141177016,0.015346181535143444,0.019530957946005456,0.014535216354388036,0.17325017386771324,0.14034570113436906,0.10008316474763579,0.15591400974306546,0.15675748766904718,0.14534402914329214,0.1254371305025903,0.1745202352786972
R1,m-21d7d32c1289,tcn,shared_branch,96,1,0.1,gelu,2,complete,0.11984038760088611,-0.0011063856139641448,0.9381682218019932,1.0005530398804274,-0.03493790423972287,0.09059371243909031,0.3476311025293555,0.10765055567026138,0.0,0.0,90.0,5.987474927678703,3,0.002336230711080134,0.0015461244483235825,0.000513850201217747,0.003260457009640061,-0.0005387609529896586,0.10048898998022648,0.24185641927469925,0.15503838259142477,0.16150674455992153,-0.003066068164373492,-0.03493790423972287,0.09059371243909031,0.16508832864750767
R1,m-21d7d32c1289,tcn,shared_branch,96,1,0.1,gelu,3,complete,0.11985496085623903,-0.028295502082439583,0.9381604549029772,1.0140490629562455,-0.10616032546692633,0.05947813700075166,0.3896237434323051,0.13052095472812653,0.0,0.0,90.0,8.853424922563136,3,0.0023076458601281047,-0.023173710572806483,-0.021449518199857742,-0.02307372042885092,-0.025682463385470866,0.16480893506481886,0.18275136586169938,0.15745935770309483,0.14318836085225406,0.048692242569951416,-0.10616032546692633,0.05947813700075166,0.2222009895478223
R1,m-21d7d32c1289,tcn,shared_branch,96,1,0.1,gelu,4,complete,0.1021242220522185,0.010692891806680649,0.9475630733348475,0.9946391849275391,0.01244931070428068,0.06198715711511715,0.4119477739665256,0.13530176877975464,0.0,0.0,90.0,10.006010008510202,3,0.00234552490292117,0.008744967036499296,0.008597983528945474,0.009699543037021585,0.010008885204840001,0.17873341557301003,0.01940308858981321,0.05861509563814937,0.22804267380628884,0.047224080022346016,0.01244931070428068,0.06198715711511715,0.16955527470098752
R1,m-252ed6fedd71,tcn,antisymmetric,96,2,0.0,silu,0,complete,0.1690144569095553,-0.02004616490226252,0.9115840844872428,1.009973348609884,-0.17314665698559795,0.14957793267960418,0.4641721611757963,0.13977544009685516,0.0,0.0,72.0,4.555189982056617,3,0.0025013620615936816,-0.015498607370304729,-0.017766109096213123,-0.017661826354542054,-0.017045243320745085,0.20707689097662285,0.24634052611973956,0.07310907772238029,0.1765843867686877,0.24580607638614782,-0.17314665698559795,0.14957793267960418,0.1934780040043378
R1,m-252ed6fedd71,tcn,antisymmetric,96,2,0.0,silu,1,complete,0.14793468496491158,0.013278287383683862,0.923073840510654,0.993338669647123,0.09493722142668826,0.1261017166557855,0.3824394446207289,0.10515239834785461,0.0,0.0,72.0,5.233410012442618,3,0.0023225729819387197,0.012131708317543954,0.011945177449189659,0.013065671894974318,0.011978262308057874,0.18700288479823612,0.13598977066380236,0.09493722142668826,0.15552819900028292,0.17432740804217917,0.24276272070530458,0.1261017166557855,0.19431400299937374
