block,stratifier,scheme,stratum,rows,clusters,measure_median,incumbent_cost_median,gain_h4_mean,numerator_pp,numerator_lo,numerator_hi,denominator_pp,denominator_lo,denominator_hi,factor,factor_lo,factor_hi,den_sign_flip_rate,factor_fieller_kind,factor_fieller_lo,factor_fieller_hi
validation,severity,global_tercile,T2,600,300,0.3,1949.0,-47.81916666666667,15.317808104464525,10.478595512419862,20.314464206181253,0.5308974837987979,-1.566465029566937,2.6615115465372323,28.852666610621466,-186.41637689309786,220.82173103973545,0.306,unbounded,-400.0,400.0
validation,severity,global_tercile,T3,600,300,0.8,2389.0,-63.33166666666666,12.39368319333285,8.679188089568303,16.480835185000863,0.6725541372542554,-1.4855248234689498,2.8577713667231315,18.427785224741672,-141.44027069522295,148.09774086239446,0.2875,unbounded,-400.0,400.0
validation,baseline_cost_h4,within_network_tercile,T1,600,271,1072.75,1072.75,-65.87083333333334,14.558304868856863,9.393150449192452,20.137382792725617,1.0691248935758124,-0.9778891311515729,3.2278732403664594,13.617029176231153,-117.80823912367902,142.700897575717,0.1565,unbounded,-400.0,400.0
validation,baseline_cost_h4,within_network_tercile,T2,600,274,1378.25,1378.25,-66.73416666666667,22.661972405789076,17.792277583134698,27.203415519185796,1.4316116980036986,-0.5279924630540633,3.5963847898628583,15.829692113713456,-115.84144081900024,178.97769042180744,0.0765,unbounded,-400.0,400.0
validation,baseline_cost_h4,within_network_tercile,T3,600,279,3153.0,3153.0,-33.9,14.100969756359206,9.727704725551975,18.487818185764677,-0.312915395811586,-2.4643531994401844,1.9839425028910125,-45.06320221089327,-228.19550910997663,161.89624187962013,0.606,unbounded,-400.0,400.0
validation,baseline_cost_h4,global_tercile,T1,600,193,876.5,876.5,-39.24666666666667,24.13997265106219,17.85401983188554,29.860890031956117,2.1047130683046977,-0.5924856432802481,5.039958597865915,11.469483900010387,-72.39493282017975,106.27747383546246,0.0675,unbounded,-400.0,400.0
validation,baseline_cost_h4,global_tercile,T2,600,215,1809.4339426690267,1809.4339426690267,-5.351666666666667,20.86013328883215,14.715139918388278,26.697748517489366,0.26406169675384783,-2.313693561922237,3.0315230726901055,78.99719476648475,-287.7482386693655,283.45672182514807,0.4035,unbounded,-400.0,400.0
validation,baseline_cost_h4,global_tercile,T3,600,128,9669.0,9669.0,-121.90666666666667,13.97137219427449,10.567320306446794,17.478508518692458,0.32160159062839533,-1.3709050782175916,1.9800532599357883,43.443106630707405,-244.58481994728476,216.301716896241,0.3485,unbounded,-400.0,400.0
sealed,local_total_queue,within_network_tercile,T1,600,269,2.9999999329447746,1372.5,-10.018333333333333,4.467111720680961,-1.2816878175193276,10.57447497766049,2.1081158619354112,0.46858663825378705,3.8406173813815068,2.1190067402556383,-0.645127781186164,13.546232637182046,0.0075,bounded,-0.5,17.0
sealed,local_total_queue,within_network_tercile,T2,600,271,5.196801573038101,1580.1589547858607,-47.82666666666667,14.76056682022573,8.466887105475742,21.50544346980089,-0.216782121414838,-2.587985392491917,2.5771672010003774,-68.08941034385236,-174.41560314559925,190.79967011685466,0.566,unbounded,-400.0,400.0
sealed,local_total_queue,within_network_tercile,T3,600,278,17.000000178813934,2455.0,-115.345,22.317968571586466,18.210762378679043,26.57611196158426,-0.39587143022388194,-2.149655531128277,1.5484436522202676,-56.37681041787915,-439.11095120190464,340.3019104980005,0.6765,unbounded,-400.0,400.0
sealed,local_total_queue,global_tercile,T1,600,211,2.9999999329447746,1109.5,9.02,11.05469064246164,5.050282601439871,17.03640235749988,0.7449528252898685,-1.7435368166983851,3.687755472368644,14.839450589586194,-98.9061780848717,119.58337900335965,0.2825,unbounded,-400.0,400.0
sealed,local_total_queue,global_tercile,T2,600,271,7.000000029802322,1790.7727061386881,-55.51,10.461901985421651,4.948825824210701,16.0334232914039,1.555461480484177,-0.20895882494068982,3.3593383684445053,6.725915181239407,-31.080086413529482,60.038348802296085,0.0415,unbounded,-400.0,400.0
sealed,local_total_queue,global_tercile,T3,600,247,17.000000178813934,7911.0,-126.7,19.855254340193575,15.591126003677791,24.295280580377554,-0.46163990249418196,-2.1690433899997235,1.403754112434349,-43.01026456534227,-311.113163042276,277.75223893433486,0.703,unbounded,-400.0,400.0
sealed,observed_cost,within_network_tercile,T1,600,269,3.024999932385981,1351.25,-4.48,4.264787364111533,-1.5867554844645706,10.267323904878982,2.0546280080381507,0.28767083144815353,3.8983695039761326,2.075698056984894,-0.8099804193338805,18.770248410625605,0.008,bounded,-0.5,27.0
sealed,observed_cost,within_network_tercile,T2,600,269,5.999999865889549,1554.5,-51.153333333333336,15.434916825743361,9.164436029253704,22.23826370255589,-0.7141155650626008,-3.13192312543067,2.003826414602458,-21.614032211145414,-173.39894571540268,135.92911973140406,0.718,unbounded,-400.0,400.0
